epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.7758657336235046,0.8142856955528259,0.5371441841125488,0.40873757004737854
2,0.8416385054588318,0.8682539463043213,0.3838265836238861,0.3335585594177246
3,0.8629645109176636,0.8753968477249146,0.3458949029445648,0.342276930809021
4,0.8723606467247009,0.8809523582458496,0.3084805905818939,0.3364294171333313
5,0.8978040814399719,0.8833333253860474,0.2636370062828064,0.31407859921455383
6,0.8959037065505981,0.8880952596664429,0.25760897994041443,0.29269835352897644
7,0.9026604890823364,0.8841269612312317,0.244219571352005,0.31520798802375793
8,0.9094172120094299,0.8865079283714294,0.23377478122711182,0.30413582921028137
9,0.9079391956329346,0.8904761672019958,0.2310410887002945,0.30198800563812256
10,0.9086782336235046,0.8952381014823914,0.22802957892417908,0.29330354928970337
11,0.8626478314399719,0.8928571343421936,0.3478463292121887,0.2896968424320221
12,0.9024493098258972,0.9095237851142883,0.24867919087409973,0.2558755874633789
13,0.9174408912658691,0.9166666865348816,0.22094224393367767,0.2377995252609253
14,0.9228251576423645,0.9261904954910278,0.19967202842235565,0.2318735271692276
15,0.9334881901741028,0.9190475940704346,0.18224681913852692,0.22919699549674988
16,0.9340160489082336,0.9261904954910278,0.17200598120689392,0.2329351007938385
17,0.9368665814399719,0.9246031641960144,0.160655677318573,0.23128661513328552
18,0.9449957609176636,0.9246031641960144,0.1470068246126175,0.23126189410686493
19,0.9509079456329346,0.9230158925056458,0.1368211805820465,0.23704741895198822
